dg_id,playerImage160,player_name,rounds,sg_mean,2017,2018,2019,2020,2021
7960,https://dkn.gs/sports/images/golf/players/160/719.png,"List, Luke",16,1.302,T17,T7,T10,NA,T63
15473,https://dkn.gs/sports/images/golf/players/160/561.png,"Long, Adam",10,0.789,NA,NA,T10,T24,CUT
14926,https://dkn.gs/sports/images/countries/160/united_states.png,"Malnati, Peter",2,-1.004,NA,NA,NA,NA,CUT
13562,https://dkn.gs/sports/images/golf/players/160/1130.png,"Matsuyama, Hideki",20,0.522,T45,T49,T33,T56,T18
19870,https://dkn.gs/sports/images/golf/players/160/631.png,"McCarthy, Denny",6,-0.002,NA,NA,NA,CUT,T26
7548,https://dkn.gs/sports/images/golf/players/160/1184.png,"McDowell, Graeme",18,0.505,T28,T22,T54,T32,CUT
10091,https://dkn.gs/sports/images/golf/players/160/1080.png,"McIlroy, Rory",20,2.822,T4,1,T6,T5,T10
18634,https://dkn.gs/sports/images/countries/160/united_states.png,"McNealy, Maverick",6,-0.168,NA,NA,NA,CUT,T49
13367,https://dkn.gs/sports/images/golf/players/160/1005.png,"Merritt, Troy",8,0.479,T56,NA,NA,T24,NA
17365,https://dkn.gs/sports/images/golf/players/160/1076.png,"Mitchell, Keith",12,1.688,NA,NA,T6,T5,T43
21944,https://dkn.gs/sports/images/countries/160/united_states.png,"Moore, Taylor",0,NA,NA,NA,NA,NA,NA
18761,https://dkn.gs/sports/images/countries/160/united_states.png,"Mullinax, Trey",0,NA,NA,NA,NA,NA,NA
20770,https://dkn.gs/sports/images/golf/players/160/662.png,"Munoz, Sebastian",6,-0.335,NA,NA,NA,CUT,T49
7452,https://dkn.gs/sports/images/golf/players/160/559.png,"Na, Kevin",16,0.266,CUT,T36,CUT,T36,T43
11657,https://dkn.gs/sports/images/golf/players/160/633.png,"Norlander, Henrik",6,-1.502,NA,NA,NA,CUT,71
7626,https://dkn.gs/sports/images/golf/players/160/958.png,"O'Hair, Sean",6,-0.125,CUT,T7,NA,NA,NA
14735,https://dkn.gs/sports/images/golf/players/160/580.png,"Ortiz, Carlos",6,0.322,NA,NA,T29,CUT,NA
27820,https://dkn.gs/sports/images/countries/160/united_states.png,"Pak, John",0,NA,NA,NA,NA,NA,NA
17780,https://dkn.gs/sports/images/countries/160/canada.png,"Pendrith, Taylor",0,NA,NA,NA,NA,NA,NA
6762,https://dkn.gs/sports/images/golf/players/160/747.png,"Perez, Pat",14,0.179,T17,NA,T50,CUT,T36
13944,https://dkn.gs/sports/images/golf/players/160/864.png,"Pieters, Thomas",2,-3.362,CUT,NA,NA,NA,NA
30014702,https://dkn.gs/sports/images/countries/160/united_states.png,"Piot, James",0,NA,NA,NA,NA,NA,NA
1435,https://dkn.gs/sports/images/golf/players/160/974.png,"Poulter, Ian",20,0.872,T41,T41,T23,T32,T26
10104,https://dkn.gs/sports/images/countries/160/ireland.png,"Power, Seamus",0,NA,NA,NA,NA,NA,NA
